Source;Target;Weight;Label;Type
ASTRAZENECA;CA;1;1;undirected
AVIVA;JE;2;2;undirected
BABCOCK INTERNATIONAL GROUP ;JE;1;1;undirected
BAE SYSTEMS;JE;4;4;undirected
BARCLAYS;JE;29;29;undirected
BHP BILLITON;JE;9;9;undirected
BP;JE;2;2;undirected
BRITISH AMERICAN TOBACCO;JE;17;17;undirected
BT GROUP;JE;12;12;undirected
BUNZL;JE;1;1;undirected
BURBERRY GROUP;JE;2;2;undirected
CAPITA GROUP;JE;28;28;undirected
CAPITAL SHOPPING CENTRES GROUP;JE;6;6;undirected
CENTRICA;JE;3;3;undirected
COMPASS GROUP;JE;1;1;undirected
G4S;JE;3;3;undirected
GKN;JE;1;1;undirected
GLAXOSMITHKLINE;JE;4;4;undirected
GLENCORE INTERNATIONAL;JE;2;2;undirected
HAMMERSON;JE;9;9;undirected
HSBC;JE;26;26;undirected
ICAP;JE;1;1;undirected
INTERCONTINENTAL HOTELS GROUP;JE;1;1;undirected
INTERNATIONAL AIRLINES GROUP;JE;5;5;undirected
INTERTEK  GROUP;JE;1;1;undirected
J SAINSBURY;JE;2;2;undirected
KINGFISHER;JE;3;3;undirected
LAND SECURITIES GROUP;JE;13;13;undirected
LEGAL & GENERAL GROUP;JE;21;21;undirected
LLOYDS BANKING GROUP;JE;59;59;undirected
NATIONAL GRID;JE;3;3;undirected
OLD MUTUAL;JE;8;8;undirected
PEARSON;JE;2;2;undirected
PENNON;JE;1;1;undirected
PETROFAC INC.;JE;18;18;undirected
POLYMETAL INTERNATIONAL;JE;1;1;undirected
PRUDENTIAL;JE;5;5;undirected
RANDGOLD RESOURCES;JE;18;18;undirected
RECKITT BENCKISER GROUP;JE;10;10;undirected
REXAM;JE;4;4;undirected
RIO TINTO;JE;8;8;undirected
ROYAL DUTCH SHELL;JE;1;1;undirected
SABMILLER;JE;2;2;undirected
SCHRODERS;JE;18;18;undirected
SERCO GROUP;JE;1;1;undirected
SHIRE;JE;2;2;undirected
STANDARD CHARTERED;JE;5;5;undirected
STANDARD LIFE;JE;6;6;undirected
TESCO;JE;8;8;undirected
THE BRITISH LAND COMPANY;JE;142;142;undirected
THE ROYAL BANK OF SCOTLAND GROUP;JE;22;22;undirected
THE SAGE GROUP;JE;1;1;undirected
TULLOW OIL;JE;11;11;undirected
UNITED UTILITIES GROUP;JE;4;4;undirected
VEDANTA RESOURCES;JE;5;5;undirected
VODAFONE GROUP;JE;10;10;undirected
WM MORRISON SUPERMARKETS;JE;3;3;undirected
WOLSELEY;JE;2;2;undirected
WPP;JE;1;1;undirected
ABERDEEN ASSET MANAGEMENT;JE;1;1;undirected
AMEC ;JE;2;2;undirected
ANGLO AMERICAN;JE;1;1;undirected
ANTOFAGASTA;JE;8;8;undirected
ASSOCIATED BRITISH FOODS ;JE;6;6;undirected
AVIVA;CN;1;1;undirected
BARCLAYS;CN;2;2;undirected
BHP BILLITON;CN;1;1;undirected
BP;CN;29;29;undirected
BRITISH AMERICAN TOBACCO;CN;1;1;undirected
BT GROUP;CN;13;13;undirected
BUNZL;CN;1;1;undirected
CAPITA GROUP;CN;1;1;undirected
CARNIVAL;CN;1;1;undirected
COMPASS GROUP;CN;4;4;undirected
CRH;CN;2;2;undirected
CRODA INTERNATIONAL;CN;2;2;undirected
DIAGEO;CN;6;6;undirected
EURASIAN NATURAL RESOURCES CORPORATION;CN;1;1;undirected
G4S;CN;9;9;undirected
GKN;CN;9;9;undirected
GLAXOSMITHKLINE;CN;9;9;undirected
HSBC;CN;17;17;undirected
ICAP;CN;2;2;undirected
IMI;CN;10;10;undirected
IMPERIAL TOBACCO GROUP ;CN;4;4;undirected
INTERCONTINENTAL HOTELS GROUP;CN;7;7;undirected
INTERTEK  GROUP;CN;16;16;undirected
J SAINSBURY;CN;1;1;undirected
JOHNSON MATTHEY;CN;11;11;undirected
KINGFISHER;CN;49;49;undirected
MARKS AND SPENCER GROUP;CN;2;2;undirected
MEGGITT;CN;1;1;undirected
NEXT;CN;3;3;undirected
OLD MUTUAL;CN;1;1;undirected
PEARSON;CN;46;46;undirected
PRUDENTIAL;CN;2;2;undirected
RECKITT BENCKISER GROUP;CN;7;7;undirected
REED ELSEVIER GROUP;CN;13;13;undirected
REXAM;CN;10;10;undirected
RIO TINTO;CN;9;9;undirected
ROLLS-ROYCE GROUP;CN;4;4;undirected
ROYAL DUTCH SHELL;CN;30;30;undirected
SCHRODERS;CN;1;1;undirected
SERCO GROUP;CN;1;1;undirected
SEVERN TRENT;CN;1;1;undirected
SMITH & NEPHEW;CN;5;5;undirected
SMITHS GROUP;CN;10;10;undirected
STANDARD CHARTERED;CN;8;8;undirected
STANDARD LIFE;CN;1;1;undirected
TATE & LYLE;CN;2;2;undirected
TESCO;CN;55;55;undirected
THE ROYAL BANK OF SCOTLAND GROUP;CN;3;3;undirected
THE WEIR GROUP;CN;7;7;undirected
UNILEVER;CN;8;8;undirected
VODAFONE GROUP;CN;3;3;undirected
WHITBREAD;CN;3;3;undirected
WPP;CN;56;56;undirected
XSTRATA;CN;1;1;undirected
AMEC ;CN;2;2;undirected
ANGLO AMERICAN;CN;2;2;undirected
ARM HOLDINGS;CN;1;1;undirected
ASHMORE GROUP PLC;CN;1;1;undirected
ASSOCIATED BRITISH FOODS ;CN;29;29;undirected
ASTRAZENECA;CN;4;4;undirected
AVIVA;HK;4;4;undirected
BAE SYSTEMS;HK;1;1;undirected
BARCLAYS;HK;11;11;undirected
BHP BILLITON;HK;3;3;undirected
BP;HK;8;8;undirected
BRITISH AMERICAN TOBACCO;HK;11;11;undirected
BRITISH SKY BROADCASTING GROUP;HK;1;1;undirected
BT GROUP;HK;8;8;undirected
BUNZL;HK;2;2;undirected
BURBERRY GROUP;HK;3;3;undirected
CAPITA GROUP;HK;2;2;undirected
CARNIVAL;HK;2;2;undirected
COMPASS GROUP;HK;1;1;undirected
CRODA INTERNATIONAL;HK;1;1;undirected
DIAGEO;HK;5;5;undirected
G4S;HK;21;21;undirected
GLAXOSMITHKLINE;HK;3;3;undirected
GLENCORE INTERNATIONAL;HK;1;1;undirected
HSBC;HK;80;80;undirected
ICAP;HK;7;7;undirected
IMI;HK;2;2;undirected
IMPERIAL TOBACCO GROUP ;HK;3;3;undirected
INTERCONTINENTAL HOTELS GROUP;HK;14;14;undirected
INTERTEK  GROUP;HK;10;10;undirected
ITV;HK;1;1;undirected
J SAINSBURY;HK;2;2;undirected
JOHNSON MATTHEY;HK;8;8;undirected
KAZAKHMYS;HK;1;1;undirected
KINGFISHER;HK;3;3;undirected
LLOYDS BANKING GROUP;HK;10;10;undirected
MARKS AND SPENCER GROUP;HK;2;2;undirected
NEXT;HK;5;5;undirected
OLD MUTUAL;HK;5;5;undirected
PEARSON;HK;10;10;undirected
PRUDENTIAL;HK;10;10;undirected
RECKITT BENCKISER GROUP;HK;3;3;undirected
REED ELSEVIER GROUP;HK;6;6;undirected
REXAM;HK;5;5;undirected
RIO TINTO;HK;3;3;undirected
ROLLS-ROYCE GROUP;HK;3;3;undirected
ROYAL DUTCH SHELL;HK;19;19;undirected
SABMILLER;HK;2;2;undirected
SCHRODERS;HK;5;5;undirected
SERCO GROUP;HK;2;2;undirected
SMITH & NEPHEW;HK;2;2;undirected
SMITHS GROUP;HK;3;3;undirected
STANDARD CHARTERED;HK;39;39;undirected
STANDARD LIFE;HK;3;3;undirected
TATE & LYLE;HK;1;1;undirected
TESCO;HK;36;36;undirected
THE ROYAL BANK OF SCOTLAND GROUP;HK;11;11;undirected
THE SAGE GROUP;HK;1;1;undirected
THE WEIR GROUP;HK;3;3;undirected
UNILEVER;HK;2;2;undirected
VODAFONE GROUP;HK;4;4;undirected
WHITBREAD;HK;1;1;undirected
WM MORRISON SUPERMARKETS;HK;1;1;undirected
WPP;HK;97;97;undirected
XSTRATA;HK;2;2;undirected
ABERDEEN ASSET MANAGEMENT;HK;1;1;undirected
AGGREKO;HK;1;1;undirected
AMEC ;HK;2;2;undirected
ANGLO AMERICAN;HK;3;3;undirected
ASSOCIATED BRITISH FOODS ;HK;1;1;undirected
ASTRAZENECA;HK;2;2;undirected
AVIVA;ES;7;7;undirected
BARCLAYS;ES;13;13;undirected
BG GROUP;ES;1;1;undirected
BP;ES;22;22;undirected
BRITISH AMERICAN TOBACCO;ES;2;2;undirected
BT GROUP;ES;5;5;undirected
BUNZL;ES;9;9;undirected
BURBERRY GROUP;ES;1;1;undirected
CARNIVAL;ES;3;3;undirected
COMPASS GROUP;ES;8;8;undirected
CRH;ES;10;10;undirected
CRODA INTERNATIONAL;ES;1;1;undirected
DIAGEO;ES;2;2;undirected
GKN;ES;5;5;undirected
GLAXOSMITHKLINE;ES;14;14;undirected
HSBC;ES;1;1;undirected
IMI;ES;4;4;undirected
IMPERIAL TOBACCO GROUP ;ES;53;53;undirected
INTERCONTINENTAL HOTELS GROUP;ES;4;4;undirected
INTERNATIONAL AIRLINES GROUP;ES;20;20;undirected
INTERTEK  GROUP;ES;2;2;undirected
ITV;ES;1;1;undirected
KINGFISHER;ES;1;1;undirected
LLOYDS BANKING GROUP;ES;5;5;undirected
MARKS AND SPENCER GROUP;ES;1;1;undirected
MEGGITT;ES;1;1;undirected
OLD MUTUAL;ES;2;2;undirected
PEARSON;ES;4;4;undirected
PRUDENTIAL;ES;22;22;undirected
RECKITT BENCKISER GROUP;ES;9;9;undirected
REED ELSEVIER GROUP;ES;8;8;undirected
REXAM;ES;1;1;undirected
RIO TINTO;ES;2;2;undirected
ROLLS-ROYCE GROUP;ES;4;4;undirected
ROYAL DUTCH SHELL;ES;3;3;undirected
SABMILLER;ES;2;2;undirected
SCHRODERS;ES;1;1;undirected
SERCO GROUP;ES;2;2;undirected
SEVERN TRENT;ES;1;1;undirected
SHIRE;ES;1;1;undirected
SMITH & NEPHEW;ES;2;2;undirected
SMITHS GROUP;ES;2;2;undirected
STANDARD LIFE;ES;3;3;undirected
TATE & LYLE;ES;4;4;undirected
THE BRITISH LAND COMPANY;ES;4;4;undirected
THE ROYAL BANK OF SCOTLAND GROUP;ES;8;8;undirected
THE SAGE GROUP;ES;10;10;undirected
THE WEIR GROUP;ES;5;5;undirected
UNILEVER;ES;4;4;undirected
VODAFONE GROUP;ES;4;4;undirected
WPP;ES;88;88;undirected
XSTRATA;ES;3;3;undirected
AGGREKO;ES;1;1;undirected
ASHMORE GROUP PLC;ES;1;1;undirected
ASSOCIATED BRITISH FOODS ;ES;9;9;undirected
ASTRAZENECA;ES;9;9;undirected
AVIVA;LU;1;1;undirected
BABCOCK INTERNATIONAL GROUP ;LU;4;4;undirected
BARCLAYS;LU;31;31;undirected
BP;LU;6;6;undirected
BRITISH AMERICAN TOBACCO;LU;2;2;undirected
BRITISH SKY BROADCASTING GROUP;LU;2;2;undirected
BT GROUP;LU;8;8;undirected
BURBERRY GROUP;LU;7;7;undirected
CAPITA GROUP;LU;5;5;undirected
COMPASS GROUP;LU;5;5;undirected
EURASIAN NATURAL RESOURCES CORPORATION;LU;2;2;undirected
EVRAZ PLC;LU;1;1;undirected
G4S;LU;4;4;undirected
GLAXOSMITHKLINE;LU;3;3;undirected
GLENCORE INTERNATIONAL;LU;1;1;undirected
HSBC;LU;14;14;undirected
ICAP;LU;4;4;undirected
IMI;LU;1;1;undirected
IMPERIAL TOBACCO GROUP ;LU;7;7;undirected
INTERCONTINENTAL HOTELS GROUP;LU;2;2;undirected
KINGFISHER;LU;2;2;undirected
LLOYDS BANKING GROUP;LU;18;18;undirected
MARKS AND SPENCER GROUP;LU;1;1;undirected
NATIONAL GRID;LU;7;7;undirected
OLD MUTUAL;LU;6;6;undirected
PEARSON;LU;8;8;undirected
PRUDENTIAL;LU;25;25;undirected
RECKITT BENCKISER GROUP;LU;13;13;undirected
RESOLUTION;LU;1;1;undirected
REXAM;LU;1;1;undirected
RIO TINTO;LU;1;1;undirected
ROYAL DUTCH SHELL;LU;4;4;undirected
RSA INSURANCE GROUP;LU;1;1;undirected
SCHRODERS;LU;4;4;undirected
SERCO GROUP;LU;2;2;undirected
SEVERN TRENT;LU;9;9;undirected
SHIRE;LU;5;5;undirected
SMITH & NEPHEW;LU;1;1;undirected
SMITHS GROUP;LU;5;5;undirected
STANDARD CHARTERED;LU;1;1;undirected
STANDARD LIFE;LU;1;1;undirected
TATE & LYLE;LU;1;1;undirected
TESCO;LU;5;5;undirected
THE BRITISH LAND COMPANY;LU;12;12;undirected
THE ROYAL BANK OF SCOTLAND GROUP;LU;15;15;undirected
VODAFONE GROUP;LU;14;14;undirected
WOLSELEY;LU;3;3;undirected
WPP;LU;33;33;undirected
XSTRATA;LU;1;1;undirected
ABERDEEN ASSET MANAGEMENT;LU;1;1;undirected
ANGLO AMERICAN;LU;40;40;undirected
ASSOCIATED BRITISH FOODS ;LU;7;7;undirected
ASTRAZENECA;LU;1;1;undirected
BAE SYSTEMS;SE;14;14;undirected
BARCLAYS;SE;2;2;undirected
BG GROUP;SE;1;1;undirected
BP;SE;6;6;undirected
BRITISH AMERICAN TOBACCO;SE;5;5;undirected
BRITISH SKY BROADCASTING GROUP;SE;1;1;undirected
BT GROUP;SE;2;2;undirected
COMPASS GROUP;SE;3;3;undirected
CRH;SE;1;1;undirected
CRODA INTERNATIONAL;SE;1;1;undirected
DIAGEO;SE;2;2;undirected
G4S;SE;2;2;undirected
GKN;SE;5;5;undirected
GLAXOSMITHKLINE;SE;2;2;undirected
ICAP;SE;1;1;undirected
IMI;SE;7;7;undirected
IMPERIAL TOBACCO GROUP ;SE;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;SE;1;1;undirected
INTERTEK  GROUP;SE;7;7;undirected
ITV;SE;1;1;undirected
JOHNSON MATTHEY;SE;1;1;undirected
MARKS AND SPENCER GROUP;SE;1;1;undirected
OLD MUTUAL;SE;1;1;undirected
PEARSON;SE;5;5;undirected
PRUDENTIAL;SE;4;4;undirected
RECKITT BENCKISER GROUP;SE;1;1;undirected
REXAM;SE;11;11;undirected
RIO TINTO;SE;1;1;undirected
ROLLS-ROYCE GROUP;SE;3;3;undirected
ROYAL DUTCH SHELL;SE;6;6;undirected
RSA INSURANCE GROUP;SE;10;10;undirected
SHIRE;SE;2;2;undirected
SMITH & NEPHEW;SE;1;1;undirected
SMITHS GROUP;SE;2;2;undirected
SSE;SE;5;5;undirected
THE ROYAL BANK OF SCOTLAND GROUP;SE;82;82;undirected
THE WEIR GROUP;SE;2;2;undirected
UNILEVER;SE;8;8;undirected
VODAFONE GROUP;SE;2;2;undirected
WOLSELEY;SE;11;11;undirected
WPP;SE;78;78;undirected
ARM HOLDINGS;SE;1;1;undirected
ASTRAZENECA;SE;39;39;undirected
AVIVA;IN;4;4;undirected
BAE SYSTEMS;IN;4;4;undirected
BARCLAYS;IN;6;6;undirected
BG GROUP;IN;8;8;undirected
BHP BILLITON;IN;3;3;undirected
BP;IN;6;6;undirected
BRITISH AMERICAN TOBACCO;IN;2;2;undirected
BT GROUP;IN;7;7;undirected
BURBERRY GROUP;IN;1;1;undirected
CAPITA GROUP;IN;5;5;undirected
CARNIVAL;IN;1;1;undirected
CENTRICA;IN;1;1;undirected
COMPASS GROUP;IN;4;4;undirected
CRH;IN;1;1;undirected
CRODA INTERNATIONAL;IN;1;1;undirected
DIAGEO;IN;2;2;undirected
G4S;IN;21;21;undirected
GKN;IN;5;5;undirected
GLAXOSMITHKLINE;IN;5;5;undirected
HSBC;IN;15;15;undirected
ICAP;IN;3;3;undirected
IMI;IN;3;3;undirected
INTERCONTINENTAL HOTELS GROUP;IN;8;8;undirected
INTERNATIONAL AIRLINES GROUP;IN;1;1;undirected
INTERTEK  GROUP;IN;4;4;undirected
JOHNSON MATTHEY;IN;4;4;undirected
LEGAL & GENERAL GROUP;IN;1;1;undirected
LLOYDS BANKING GROUP;IN;1;1;undirected
MARKS AND SPENCER GROUP;IN;2;2;undirected
MEGGITT;IN;1;1;undirected
NEXT;IN;1;1;undirected
OLD MUTUAL;IN;1;1;undirected
PEARSON;IN;8;8;undirected
PETROFAC INC.;IN;3;3;undirected
PRUDENTIAL;IN;4;4;undirected
RECKITT BENCKISER GROUP;IN;7;7;undirected
REED ELSEVIER GROUP;IN;4;4;undirected
REXAM;IN;2;2;undirected
RIO TINTO;IN;8;8;undirected
ROLLS-ROYCE GROUP;IN;6;6;undirected
ROYAL DUTCH SHELL;IN;6;6;undirected
RSA INSURANCE GROUP;IN;3;3;undirected
SABMILLER;IN;4;4;undirected
SCHRODERS;IN;1;1;undirected
SERCO GROUP;IN;7;7;undirected
SEVERN TRENT;IN;1;1;undirected
SMITH & NEPHEW;IN;1;1;undirected
SMITHS GROUP;IN;6;6;undirected
STANDARD CHARTERED;IN;8;8;undirected
STANDARD LIFE;IN;2;2;undirected
TATE & LYLE;IN;1;1;undirected
TESCO;IN;3;3;undirected
THE ROYAL BANK OF SCOTLAND GROUP;IN;5;5;undirected
THE SAGE GROUP;IN;1;1;undirected
THE WEIR GROUP;IN;4;4;undirected
UNILEVER;IN;14;14;undirected
UNITED UTILITIES GROUP;IN;1;1;undirected
VEDANTA RESOURCES;IN;19;19;undirected
VODAFONE GROUP;IN;23;23;undirected
WHITBREAD;IN;3;3;undirected
WPP;IN;39;39;undirected
ADMIRAL GROUP;IN;1;1;undirected
AGGREKO;IN;1;1;undirected
ANGLO AMERICAN;IN;3;3;undirected
ARM HOLDINGS;IN;1;1;undirected
ASHMORE GROUP PLC;IN;4;4;undirected
ASSOCIATED BRITISH FOODS ;IN;2;2;undirected
ASTRAZENECA;IN;2;2;undirected
AVIVA;SG;8;8;undirected
BAE SYSTEMS;SG;3;3;undirected
BARCLAYS;SG;6;6;undirected
BG GROUP;SG;5;5;undirected
BHP BILLITON;SG;5;5;undirected
BP;SG;9;9;undirected
BRITISH AMERICAN TOBACCO;SG;7;7;undirected
BT GROUP;SG;13;13;undirected
CAPITA GROUP;SG;1;1;undirected
COMPASS GROUP;SG;3;3;undirected
CRODA INTERNATIONAL;SG;1;1;undirected
DIAGEO;SG;6;6;undirected
G4S;SG;6;6;undirected
GKN;SG;1;1;undirected
GLAXOSMITHKLINE;SG;7;7;undirected
GLENCORE INTERNATIONAL;SG;2;2;undirected
HSBC;SG;10;10;undirected
ICAP;SG;11;11;undirected
IMI;SG;4;4;undirected
IMPERIAL TOBACCO GROUP ;SG;4;4;undirected
INTERCONTINENTAL HOTELS GROUP;SG;4;4;undirected
INTERTEK  GROUP;SG;2;2;undirected
LLOYDS BANKING GROUP;SG;2;2;undirected
MARKS AND SPENCER GROUP;SG;1;1;undirected
MEGGITT;SG;3;3;undirected
OLD MUTUAL;SG;2;2;undirected
PEARSON;SG;7;7;undirected
PETROFAC INC.;SG;3;3;undirected
PRUDENTIAL;SG;22;22;undirected
RECKITT BENCKISER GROUP;SG;3;3;undirected
REED ELSEVIER GROUP;SG;8;8;undirected
RIO TINTO;SG;20;20;undirected
ROLLS-ROYCE GROUP;SG;8;8;undirected
ROYAL DUTCH SHELL;SG;18;18;undirected
RSA INSURANCE GROUP;SG;1;1;undirected
SCHRODERS;SG;5;5;undirected
SERCO GROUP;SG;1;1;undirected
SHIRE;SG;1;1;undirected
SMITH & NEPHEW;SG;1;1;undirected
SMITHS GROUP;SG;2;2;undirected
STANDARD CHARTERED;SG;25;25;undirected
STANDARD LIFE;SG;1;1;undirected
TATE & LYLE;SG;3;3;undirected
THE ROYAL BANK OF SCOTLAND GROUP;SG;4;4;undirected
THE SAGE GROUP;SG;4;4;undirected
THE WEIR GROUP;SG;2;2;undirected
UNILEVER;SG;3;3;undirected
VODAFONE GROUP;SG;5;5;undirected
WHITBREAD;SG;1;1;undirected
WPP;SG;42;42;undirected
XSTRATA;SG;3;3;undirected
ABERDEEN ASSET MANAGEMENT;SG;1;1;undirected
AGGREKO;SG;1;1;undirected
AMEC ;SG;5;5;undirected
ARM HOLDINGS;SG;1;1;undirected
ASHMORE GROUP PLC;SG;1;1;undirected
ASSOCIATED BRITISH FOODS ;SG;1;1;undirected
ASTRAZENECA;SG;1;1;undirected
BARCLAYS;KY;123;123;undirected
BG GROUP;KY;4;4;undirected
BHP BILLITON;KY;5;5;undirected
BP;KY;8;8;undirected
BRITISH AMERICAN TOBACCO;KY;1;1;undirected
BT GROUP;KY;2;2;undirected
CAPITAL SHOPPING CENTRES GROUP;KY;1;1;undirected
COMPASS GROUP;KY;1;1;undirected
DIAGEO;KY;1;1;undirected
G4S;KY;2;2;undirected
GLAXOSMITHKLINE;KY;1;1;undirected
HSBC;KY;24;24;undirected
ICAP;KY;1;1;undirected
ITV;KY;3;3;undirected
J SAINSBURY;KY;3;3;undirected
LLOYDS BANKING GROUP;KY;20;20;undirected
NATIONAL GRID;KY;6;6;undirected
OLD MUTUAL;KY;1;1;undirected
PEARSON;KY;2;2;undirected
PRUDENTIAL;KY;11;11;undirected
RECKITT BENCKISER GROUP;KY;1;1;undirected
RIO TINTO;KY;1;1;undirected
ROLLS-ROYCE GROUP;KY;1;1;undirected
ROYAL DUTCH SHELL;KY;8;8;undirected
SABMILLER;KY;2;2;undirected
SCHRODERS;KY;7;7;undirected
SHIRE;KY;2;2;undirected
SMITH & NEPHEW;KY;1;1;undirected
SMITHS GROUP;KY;1;1;undirected
STANDARD CHARTERED;KY;16;16;undirected
TESCO;KY;14;14;undirected
THE ROYAL BANK OF SCOTLAND GROUP;KY;37;37;undirected
THE WEIR GROUP;KY;3;3;undirected
VODAFONE GROUP;KY;1;1;undirected
XSTRATA;KY;3;3;undirected
AGGREKO;KY;1;1;undirected
AMEC ;KY;3;3;undirected
ASTRAZENECA;KY;1;1;undirected
AVIVA;BR;1;1;undirected
BAE SYSTEMS;BR;3;3;undirected
BARCLAYS;BR;4;4;undirected
BG GROUP;BR;7;7;undirected
BHP BILLITON;BR;12;12;undirected
BP;BR;23;23;undirected
BRITISH AMERICAN TOBACCO;BR;5;5;undirected
BT GROUP;BR;6;6;undirected
BUNZL;BR;4;4;undirected
BURBERRY GROUP;BR;1;1;undirected
CARNIVAL;BR;2;2;undirected
COMPASS GROUP;BR;2;2;undirected
CRODA INTERNATIONAL;BR;2;2;undirected
DIAGEO;BR;2;2;undirected
EURASIAN NATURAL RESOURCES CORPORATION;BR;4;4;undirected
EXPERIAN;BR;1;1;undirected
G4S;BR;2;2;undirected
GKN;BR;4;4;undirected
GLAXOSMITHKLINE;BR;2;2;undirected
GLENCORE INTERNATIONAL;BR;2;2;undirected
HSBC;BR;27;27;undirected
ICAP;BR;3;3;undirected
IMI;BR;7;7;undirected
IMPERIAL TOBACCO GROUP ;BR;3;3;undirected
INTERCONTINENTAL HOTELS GROUP;BR;3;3;undirected
INTERTEK  GROUP;BR;4;4;undirected
JOHNSON MATTHEY;BR;2;2;undirected
KINGFISHER;BR;1;1;undirected
LLOYDS BANKING GROUP;BR;2;2;undirected
MEGGITT;BR;1;1;undirected
NATIONAL GRID;BR;1;1;undirected
PEARSON;BR;13;13;undirected
RECKITT BENCKISER GROUP;BR;3;3;undirected
REED ELSEVIER GROUP;BR;6;6;undirected
REXAM;BR;5;5;undirected
RIO TINTO;BR;11;11;undirected
ROLLS-ROYCE GROUP;BR;4;4;undirected
ROYAL DUTCH SHELL;BR;12;12;undirected
RSA INSURANCE GROUP;BR;2;2;undirected
SCHRODERS;BR;1;1;undirected
SHIRE;BR;1;1;undirected
SMITHS GROUP;BR;3;3;undirected
STANDARD CHARTERED;BR;1;1;undirected
TATE & LYLE;BR;3;3;undirected
THE ROYAL BANK OF SCOTLAND GROUP;BR;1;1;undirected
THE SAGE GROUP;BR;1;1;undirected
THE WEIR GROUP;BR;3;3;undirected
TULLOW OIL;BR;1;1;undirected
UNILEVER;BR;16;16;undirected
WOLSELEY;BR;1;1;undirected
WPP;BR;48;48;undirected
XSTRATA;BR;2;2;undirected
AGGREKO;BR;1;1;undirected
AMEC ;BR;3;3;undirected
ANGLO AMERICAN;BR;22;22;undirected
ASHMORE GROUP PLC;BR;1;1;undirected
ASSOCIATED BRITISH FOODS ;BR;2;2;undirected
ASTRAZENECA;BR;1;1;undirected
AVIVA;IT;14;14;undirected
BARCLAYS;IT;3;3;undirected
BG GROUP;IT;4;4;undirected
BP;IT;4;4;undirected
BRITISH AMERICAN TOBACCO;IT;4;4;undirected
BT GROUP;IT;14;14;undirected
BUNZL;IT;1;1;undirected
BURBERRY GROUP;IT;2;2;undirected
CARNIVAL;IT;7;7;undirected
COMPASS GROUP;IT;1;1;undirected
CRH;IT;2;2;undirected
CRODA INTERNATIONAL;IT;3;3;undirected
DIAGEO;IT;3;3;undirected
EVRAZ PLC;IT;1;1;undirected
GKN;IT;7;7;undirected
GLAXOSMITHKLINE;IT;7;7;undirected
GLENCORE INTERNATIONAL;IT;1;1;undirected
IMI;IT;9;9;undirected
IMPERIAL TOBACCO GROUP ;IT;7;7;undirected
INTERCONTINENTAL HOTELS GROUP;IT;1;1;undirected
INTERTEK  GROUP;IT;7;7;undirected
JOHNSON MATTHEY;IT;1;1;undirected
KAZAKHMYS;IT;1;1;undirected
MARKS AND SPENCER GROUP;IT;1;1;undirected
OLD MUTUAL;IT;1;1;undirected
PEARSON;IT;4;4;undirected
RECKITT BENCKISER GROUP;IT;4;4;undirected
REED ELSEVIER GROUP;IT;11;11;undirected
REXAM;IT;1;1;undirected
RIO TINTO;IT;2;2;undirected
ROLLS-ROYCE GROUP;IT;4;4;undirected
ROYAL DUTCH SHELL;IT;20;20;undirected
SABMILLER;IT;29;29;undirected
SCHRODERS;IT;2;2;undirected
SERCO GROUP;IT;1;1;undirected
SEVERN TRENT;IT;8;8;undirected
SHIRE;IT;1;1;undirected
SMITH & NEPHEW;IT;1;1;undirected
SMITHS GROUP;IT;5;5;undirected
SSE;IT;3;3;undirected
TATE & LYLE;IT;1;1;undirected
THE BRITISH LAND COMPANY;IT;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;IT;3;3;undirected
THE WEIR GROUP;IT;2;2;undirected
UNILEVER;IT;9;9;undirected
VODAFONE GROUP;IT;5;5;undirected
WPP;IT;60;60;undirected
AGGREKO;IT;1;1;undirected
ANGLO AMERICAN;IT;1;1;undirected
ASSOCIATED BRITISH FOODS ;IT;1;1;undirected
ASTRAZENECA;IT;2;2;undirected
BAE SYSTEMS;MX;2;2;undirected
BARCLAYS;MX;5;5;undirected
BHP BILLITON;MX;1;1;undirected
BP;MX;4;4;undirected
BRITISH AMERICAN TOBACCO;MX;5;5;undirected
BT GROUP;MX;3;3;undirected
BUNZL;MX;2;2;undirected
BURBERRY GROUP;MX;2;2;undirected
CARNIVAL;MX;6;6;undirected
COMPASS GROUP;MX;3;3;undirected
CRODA INTERNATIONAL;MX;1;1;undirected
DIAGEO;MX;5;5;undirected
FRESNILLO;MX;10;10;undirected
G4S;MX;5;5;undirected
GKN;MX;6;6;undirected
GLAXOSMITHKLINE;MX;7;7;undirected
HSBC;MX;56;56;undirected
ICAP;MX;8;8;undirected
IMI;MX;6;6;undirected
IMPERIAL TOBACCO GROUP ;MX;4;4;undirected
INTERCONTINENTAL HOTELS GROUP;MX;2;2;undirected
INTERNATIONAL AIRLINES GROUP;MX;1;1;undirected
INTERTEK  GROUP;MX;3;3;undirected
JOHNSON MATTHEY;MX;2;2;undirected
MEGGITT;MX;3;3;undirected
OLD MUTUAL;MX;9;9;undirected
PEARSON;MX;3;3;undirected
PETROFAC INC.;MX;4;4;undirected
RECKITT BENCKISER GROUP;MX;4;4;undirected
REED ELSEVIER GROUP;MX;2;2;undirected
REXAM;MX;6;6;undirected
RIO TINTO;MX;3;3;undirected
ROLLS-ROYCE GROUP;MX;2;2;undirected
ROYAL DUTCH SHELL;MX;12;12;undirected
RSA INSURANCE GROUP;MX;2;2;undirected
SABMILLER;MX;3;3;undirected
