Source;Target;Weight;Label;Type
ROLLS-ROYCE GROUP;NL;3;3;undirected
ROYAL DUTCH SHELL;NL;173;173;undirected
RSA INSURANCE GROUP;NL;7;7;undirected
SABMILLER;NL;44;44;undirected
SCHRODERS;NL;5;5;undirected
SHIRE;NL;3;3;undirected
SMITH & NEPHEW;NL;6;6;undirected
SMITHS GROUP;NL;5;5;undirected
SSE;NL;5;5;undirected
STANDARD CHARTERED;NL;13;13;undirected
STANDARD LIFE;NL;4;4;undirected
TATE & LYLE;NL;6;6;undirected
TESCO;NL;3;3;undirected
THE BRITISH LAND COMPANY;NL;22;22;undirected
THE ROYAL BANK OF SCOTLAND GROUP;NL;69;69;undirected
THE SAGE GROUP;NL;1;1;undirected
THE WEIR GROUP;NL;3;3;undirected
TULLOW OIL;NL;21;21;undirected
UNILEVER;NL;76;76;undirected
UNITED UTILITIES GROUP;NL;6;6;undirected
VEDANTA RESOURCES;NL;14;14;undirected
VODAFONE GROUP;NL;15;15;undirected
WHITBREAD;NL;2;2;undirected
WM MORRISON SUPERMARKETS;NL;1;1;undirected
WOLSELEY;NL;21;21;undirected
WPP;NL;117;117;undirected
XSTRATA;NL;2;2;undirected
AGGREKO;NL;6;6;undirected
AMEC ;NL;9;9;undirected
ANGLO AMERICAN;NL;24;24;undirected
ASHMORE GROUP PLC;NL;1;1;undirected
ASSOCIATED BRITISH FOODS ;NL;13;13;undirected
ASTRAZENECA;NL;13;13;undirected
AVIVA;US;26;26;undirected
BABCOCK INTERNATIONAL GROUP ;US;4;4;undirected
BAE SYSTEMS;US;36;36;undirected
BARCLAYS;US;32;32;undirected
BG GROUP;US;1;1;undirected
BHP BILLITON;US;11;11;undirected
BP;US;72;72;undirected
BRITISH AMERICAN TOBACCO;US;2;2;undirected
BT GROUP;US;6;6;undirected
BUNZL;US;28;28;undirected
BURBERRY GROUP;US;2;2;undirected
CAPITAL SHOPPING CENTRES GROUP;US;11;11;undirected
CARNIVAL;US;13;13;undirected
CENTRICA;US;35;35;undirected
COMPASS GROUP;US;85;85;undirected
CRH;US;20;20;undirected
CRODA INTERNATIONAL;US;3;3;undirected
DIAGEO;US;4;4;undirected
EVRAZ PLC;US;1;1;undirected
EXPERIAN;US;1;1;undirected
G4S;US;17;17;undirected
GKN;US;11;11;undirected
GLAXOSMITHKLINE;US;19;19;undirected
