Entreprise;Code;Valeur
INTERTEK  GROUP;IE;1
ITV;IE;1
J SAINSBURY;IE;4
JOHNSON MATTHEY;IE;1
KINGFISHER;IE;4
LEGAL & GENERAL GROUP;IE;3
LLOYDS BANKING GROUP;IE;41
MARKS AND SPENCER GROUP;IE;4
NATIONAL GRID;IE;2
OLD MUTUAL;IE;9
PRUDENTIAL;IE;3
RECKITT BENCKISER GROUP;IE;11
REED ELSEVIER GROUP;IE;2
REXAM;IE;1
ROLLS-ROYCE GROUP;IE;1
ROYAL DUTCH SHELL;IE;9
RSA INSURANCE GROUP;IE;12
SABMILLER;IE;1
SCHRODERS;IE;1
SERCO GROUP;IE;1
SEVERN TRENT;IE;1
SHIRE;IE;14
SMITH & NEPHEW;IE;1
SMITHS GROUP;IE;3
SSE;IE;54
STANDARD CHARTERED;IE;30
STANDARD LIFE;IE;1
TESCO;IE;25
THE BRITISH LAND COMPANY;IE;5
THE ROYAL BANK OF SCOTLAND GROUP;IE;80
THE SAGE GROUP;IE;21
TULLOW OIL;IE;1
UNILEVER;IE;30
UNITED UTILITIES GROUP;IE;1
VEDANTA RESOURCES;IE;11
VODAFONE GROUP;IE;21
WHITBREAD;IE;2
WOLSELEY;IE;2
WPP;IE;44
XSTRATA;IE;4
ABERDEEN ASSET MANAGEMENT;JE;1
AMEC ;JE;2
ANGLO AMERICAN;JE;1
ANTOFAGASTA;JE;8
ASSOCIATED BRITISH FOODS ;JE;6
AVIVA;JE;2
BABCOCK INTERNATIONAL GROUP ;JE;1
BAE SYSTEMS;JE;4
BARCLAYS;JE;29
BHP BILLITON;JE;9
BP;JE;2
BRITISH AMERICAN TOBACCO;JE;17
BT GROUP;JE;12
BUNZL;JE;1
BURBERRY GROUP;JE;2
CAPITA GROUP;JE;28
CAPITAL SHOPPING CENTRES GROUP;JE;6
CENTRICA;JE;3
COMPASS GROUP;JE;1
G4S;JE;3
GKN;JE;1
GLAXOSMITHKLINE;JE;4
GLENCORE INTERNATIONAL;JE;2
HAMMERSON;JE;9
HSBC;JE;26
ICAP;JE;1
INTERCONTINENTAL HOTELS GROUP;JE;1
INTERNATIONAL AIRLINES GROUP;JE;5
INTERTEK  GROUP;JE;1
J SAINSBURY;JE;2
KINGFISHER;JE;3
LAND SECURITIES GROUP;JE;13
LEGAL & GENERAL GROUP;JE;21
LLOYDS BANKING GROUP;JE;59
NATIONAL GRID;JE;3
OLD MUTUAL;JE;8
PEARSON;JE;2
PENNON;JE;1
PETROFAC INC.;JE;18
POLYMETAL INTERNATIONAL;JE;1
PRUDENTIAL;JE;5
RANDGOLD RESOURCES;JE;18
RECKITT BENCKISER GROUP;JE;10
REXAM;JE;4
RIO TINTO;JE;8
ROYAL DUTCH SHELL;JE;1
SABMILLER;JE;2
SCHRODERS;JE;18
SERCO GROUP;JE;1
SHIRE;JE;2
STANDARD CHARTERED;JE;5
STANDARD LIFE;JE;6
TESCO;JE;8
THE BRITISH LAND COMPANY;JE;142
THE ROYAL BANK OF SCOTLAND GROUP;JE;22
THE SAGE GROUP;JE;1
TULLOW OIL;JE;11
UNITED UTILITIES GROUP;JE;4
VEDANTA RESOURCES;JE;5
VODAFONE GROUP;JE;10
WM MORRISON SUPERMARKETS;JE;3
WOLSELEY;JE;2
WPP;JE;1
ABERDEEN ASSET MANAGEMENT;HK;1
AGGREKO;HK;1
AMEC ;HK;2
ANGLO AMERICAN;HK;3
ASSOCIATED BRITISH FOODS ;HK;1
ASTRAZENECA;HK;2
AVIVA;HK;4
BAE SYSTEMS;HK;1
BARCLAYS;HK;11
BHP BILLITON;HK;3
BP;HK;8
BRITISH AMERICAN TOBACCO;HK;11
BRITISH SKY BROADCASTING GROUP;HK;1
BT GROUP;HK;8
BUNZL;HK;2
BURBERRY GROUP;HK;3
CAPITA GROUP;HK;2
CARNIVAL;HK;2
COMPASS GROUP;HK;1
CRODA INTERNATIONAL;HK;1
DIAGEO;HK;5
G4S;HK;21
GLAXOSMITHKLINE;HK;3
GLENCORE INTERNATIONAL;HK;1
HSBC;HK;80
ICAP;HK;7
IMI;HK;2
IMPERIAL TOBACCO GROUP ;HK;3
INTERCONTINENTAL HOTELS GROUP;HK;14
INTERTEK  GROUP;HK;10
ITV;HK;1
J SAINSBURY;HK;2
JOHNSON MATTHEY;HK;8
KAZAKHMYS;HK;1
KINGFISHER;HK;3
LLOYDS BANKING GROUP;HK;10
MARKS AND SPENCER GROUP;HK;2
NEXT;HK;5
OLD MUTUAL;HK;5
PEARSON;HK;10
PRUDENTIAL;HK;10
RECKITT BENCKISER GROUP;HK;3
REED ELSEVIER GROUP;HK;6
REXAM;HK;5
RIO TINTO;HK;3
ROLLS-ROYCE GROUP;HK;3
ROYAL DUTCH SHELL;HK;19
SABMILLER;HK;2
SCHRODERS;HK;5
SERCO GROUP;HK;2
SMITH & NEPHEW;HK;2
SMITHS GROUP;HK;3
STANDARD CHARTERED;HK;39
STANDARD LIFE;HK;3
TATE & LYLE;HK;1
TESCO;HK;36
THE ROYAL BANK OF SCOTLAND GROUP;HK;11
THE SAGE GROUP;HK;1
THE WEIR GROUP;HK;3
UNILEVER;HK;2
VODAFONE GROUP;HK;4
WHITBREAD;HK;1
WM MORRISON SUPERMARKETS;HK;1
WPP;HK;97
XSTRATA;HK;2
ABERDEEN ASSET MANAGEMENT;LU;1
ANGLO AMERICAN;LU;40
ASSOCIATED BRITISH FOODS ;LU;7
ASTRAZENECA;LU;1
AVIVA;LU;1
BABCOCK INTERNATIONAL GROUP ;LU;4
BARCLAYS;LU;31
BP;LU;6
BRITISH AMERICAN TOBACCO;LU;2
BRITISH SKY BROADCASTING GROUP;LU;2
BT GROUP;LU;8
BURBERRY GROUP;LU;7
CAPITA GROUP;LU;5
COMPASS GROUP;LU;5
EURASIAN NATURAL RESOURCES CORPORATION;LU;2
EVRAZ PLC;LU;1
G4S;LU;4
GLAXOSMITHKLINE;LU;3
GLENCORE INTERNATIONAL;LU;1
HSBC;LU;14
ICAP;LU;4
IMI;LU;1
IMPERIAL TOBACCO GROUP ;LU;7
INTERCONTINENTAL HOTELS GROUP;LU;2
KINGFISHER;LU;2
LLOYDS BANKING GROUP;LU;18
MARKS AND SPENCER GROUP;LU;1
NATIONAL GRID;LU;7
