Entreprise;Code;Valeur
INTERCONTINENTAL HOTELS GROUP;MT;2
INTERTEK  GROUP;MT;1
LLOYDS BANKING GROUP;MT;1
SHIRE;MT;4
THE WEIR GROUP;MT;2
VODAFONE GROUP;MT;4
BP;BH;1
BRITISH AMERICAN TOBACCO;BH;1
BT GROUP;BH;1
G4S;BH;3
ICAP;BH;1
INTERTEK  GROUP;BH;1
LEGAL & GENERAL GROUP;BH;2
RIO TINTO;BH;1
RSA INSURANCE GROUP;BH;1
SERCO GROUP;BH;2
UNILEVER;BH;1
UNITED UTILITIES GROUP;BH;2
VODAFONE GROUP;BH;2
WPP;BH;6
BP;LB;1
BT GROUP;LB;1
DIAGEO;LB;1
G4S;LB;2
HSBC;LB;4
IMPERIAL TOBACCO GROUP ;LB;1
INTERCONTINENTAL HOTELS GROUP;LB;1
STANDARD CHARTERED;LB;2
UNILEVER;LB;1
WPP;LB;10
CAPITAL SHOPPING CENTRES GROUP;AN;1
CARNIVAL;AN;4
GLAXOSMITHKLINE;AN;1
ICAP;AN;1
IMPERIAL TOBACCO GROUP ;AN;3
INTERTEK  GROUP;AN;1
RSA INSURANCE GROUP;AN;1
SABMILLER;AN;4
SMITHS GROUP;AN;1
THE ROYAL BANK OF SCOTLAND GROUP;AN;2
UNILEVER;AN;1
WPP;AN;1
XSTRATA;AN;1
ASTRAZENECA;LV;1
BRITISH AMERICAN TOBACCO;LV;1
BT GROUP;LV;1
G4S;LV;2
GLAXOSMITHKLINE;LV;1
INTERTEK  GROUP;LV;2
MARKS AND SPENCER GROUP;LV;1
RECKITT BENCKISER GROUP;LV;1
RSA INSURANCE GROUP;LV;1
UNILEVER;LV;2
WHITBREAD;LV;1
WPP;LV;3
AMEC ;LR;1
ASSOCIATED BRITISH FOODS ;LR;1
BARCLAYS;LR;1
BHP BILLITON;LR;5
BRITISH AMERICAN TOBACCO;LR;1
DIAGEO;LR;2
GLAXOSMITHKLINE;LR;1
VEDANTA RESOURCES;LR;1
BT GROUP;MO;2
BURBERRY GROUP;MO;1
DIAGEO;MO;1
G4S;MO;6
IMPERIAL TOBACCO GROUP ;MO;1
ROYAL DUTCH SHELL;MO;1
BG GROUP;LC;6
BHP BILLITON;LC;1
BRITISH AMERICAN TOBACCO;LC;1
DIAGEO;LC;1
G4S;LC;1
ROYAL DUTCH SHELL;LC;1
TULLOW OIL;LC;1
BHP BILLITON;CK;1
HSBC;CK;7
RIO TINTO;CK;1
ROYAL DUTCH SHELL;CK;1
STANDARD CHARTERED;CK;1
BARCLAYS;SC;2
BT GROUP;SC;1
DIAGEO;SC;2
EURASIAN NATURAL RESOURCES CORPORATION;SC;1
STANDARD CHARTERED;SC;1
ANTOFAGASTA;LI;2
IMPERIAL TOBACCO GROUP ;LI;1
LLOYDS BANKING GROUP;LI;2
OLD MUTUAL;LI;1
THE ROYAL BANK OF SCOTLAND GROUP;LI;1
BARCLAYS;MC;3
CARNIVAL;MC;1
COMPASS GROUP;MC;1
HSBC;MC;2
INTERCONTINENTAL HOTELS GROUP;AW;1
INTERTEK  GROUP;AW;1
KAZAKHMYS;AW;1
RIO TINTO;AW;1
XSTRATA;AW;2
ASTRAZENECA;JO;1
BT GROUP;JO;1
G4S;JO;2
INTERCONTINENTAL HOTELS GROUP;JO;2
BHP BILLITON;KN;1
ROYAL DUTCH SHELL;KN;1
SABMILLER;KN;4
BRITISH AMERICAN TOBACCO;WS;1
HSBC;WS;1
STANDARD CHARTERED;WS;2
BHP BILLITON;AI;1
EURASIAN NATURAL RESOURCES CORPORATION;AI;1
XSTRATA;AI;1
IMPERIAL TOBACCO GROUP ;AD;3
BT GROUP;VI;1
DIAGEO;VI;1
XSTRATA;AG;1
INTERCONTINENTAL HOTELS GROUP;MV;1
